scope,source,field,value,updated,signature
hosts,wck8.sgzn.isa.kja,userlogin,lruxot,1678797438,@784.8.98.710
hosts,wck8.sgzn.isa.kja,loginfrom,784.8.98.701,1678797438,@784.8.98.710
hosts,wck1.sgzn.isa.kja,userlogin,xuuz,1678798708,@784.8.98.713
hosts,wck1.sgzn.isa.kja,loginfrom,X6,1678798708,@784.8.98.713
hosts,wck8.sgzn.isa.kja,userlogin,xuuz,1678799301,@784.8.98.710
hosts,wck8.sgzn.isa.kja,loginfrom,784.8.98.701,1678799301,@784.8.98.710
hosts,wck3.sgzn.isa.kja,userlogin,lruxot,1678799397,@784.8.98.715
hosts,wck3.sgzn.isa.kja,loginfrom,784.8.98.701,1678799397,@784.8.98.715
hosts,wck7.sgzn.isa.kja,userlogin,fkinktmf,1678800335,@784.8.98.719
hosts,wck7.sgzn.isa.kja,loginfrom,739.31.99.52,1678800335,@784.8.98.719
hosts,wck3.sgzn.isa.kja,userlogin,lruxot,1678805470,@784.8.98.715
hosts,wck3.sgzn.isa.kja,loginfrom,784.8.98.701,1678805470,@784.8.98.715
hosts,wck3.sgzn.isa.kja,userlogin,xuuz,1678805547,@784.8.98.715
hosts,wck3.sgzn.isa.kja,loginfrom,784.8.98.701,1678805547,@784.8.98.715
hosts,wck3.sgzn.isa.kja,userlogin,xuuz,1678805848,@784.8.98.715
hosts,wck3.sgzn.isa.kja,loginfrom,784.8.98.701,1678805848,@784.8.98.715
hosts,wck3.sgzn.isa.kja,userlogin,xuuz,1678806415,@784.8.98.715
hosts,wck3.sgzn.isa.kja,loginfrom,784.8.98.701,1678806415,@784.8.98.715
hosts,wck3.sgzn.isa.kja,userlogin,xuuz,1678806589,@784.8.98.715
hosts,wck3.sgzn.isa.kja,loginfrom,784.8.98.701,1678806589,@784.8.98.715
hosts,wck3.sgzn.isa.kja,reboot,784.8.98.715,1678808739,@784.8.98.715
hosts,wck3.sgzn.isa.kja,os,Uhatza-86.60,1678808739,@784.8.98.715
hosts,wck7.sgzn.isa.kja,userlogin,qoyyrotm,1678809004,@784.8.98.719
hosts,wck7.sgzn.isa.kja,loginfrom,52.891.83.772,1678809004,@784.8.98.719
hosts,wck5.sgzn.isa.kja,userlogin,lruxot,1678809245,@784.8.98.727
hosts,wck5.sgzn.isa.kja,loginfrom,784.8.98.701,1678809245,@784.8.98.727
hosts,wck4.sgzn.isa.kja,userlogin,lruxot,1678809264,@784.8.98.726
hosts,wck4.sgzn.isa.kja,loginfrom,784.8.98.701,1678809264,@784.8.98.726
hosts,wck2.sgzn.isa.kja,userlogin,lruxot,1678809274,@784.8.98.714
hosts,wck2.sgzn.isa.kja,loginfrom,784.8.98.701,1678809274,@784.8.98.714
hosts,wck2.sgzn.isa.kja,userlogin,xuuz,1678809286,@784.8.98.714
hosts,wck2.sgzn.isa.kja,loginfrom,784.8.98.701,1678809286,@784.8.98.714
hosts,wck2.sgzn.isa.kja,userlogin,xuuz,1678809982,@784.8.98.714
hosts,wck2.sgzn.isa.kja,loginfrom,784.8.98.701,1678809982,@784.8.98.714
hosts,wck3.sgzn.isa.kja,userlogin,xuuz,1678810054,@784.8.98.715
hosts,wck3.sgzn.isa.kja,loginfrom,784.8.98.701,1678810054,@784.8.98.715
hosts,wck2.sgzn.isa.kja,reboot,784.8.98.714,1678810301,@784.8.98.714
hosts,wck2.sgzn.isa.kja,os,Uhatza-86.60,1678810301,@784.8.98.714
hosts,wck3.sgzn.isa.kja,userlogin,xuuz,1678810722,@784.8.98.715
hosts,wck3.sgzn.isa.kja,loginfrom,784.8.98.701,1678810722,@784.8.98.715
hosts,wck3.sgzn.isa.kja,userlogin,xuuz,1678811082,@784.8.98.715
hosts,wck3.sgzn.isa.kja,loginfrom,784.8.98.701,1678811082,@784.8.98.715
hosts,wck9.sgzn.isa.kja,userlogin,xuuz,1678811117,@784.8.98.711
hosts,wck9.sgzn.isa.kja,loginfrom,784.8.98.701,1678811117,@784.8.98.711
hosts,aha8860.sgzn.isa.kja,userlogin,_mgvj,1678811261,@784.8.779.784
hosts,otlu.siy.isa.kja,reboot,784.8.773.51,1678831434,@784.8.773.51
hosts,otlu.siy.isa.kja,os,Uhatza-88.60,1678831434,@784.8.773.51
hosts,otlu.siy.isa.kja,groupOS,tutk,1678831434,@784.8.773.51
hosts,wck9.sgzn.isa.kja,userlogin,mxkmmu,1678835064,@784.8.98.711
hosts,wck9.sgzn.isa.kja,loginfrom,38.21.895.863,1678835064,@784.8.98.711
hosts,wck9.sgzn.isa.kja,userlogin,zhunsgt,1678845144,@784.8.98.711
hosts,wck9.sgzn.isa.kja,loginfrom,54.777.898.43,1678845144,@784.8.98.711
hosts,wck9.sgzn.isa.kja,userlogin,zhunsgt,1678881227,@784.8.98.711
hosts,wck9.sgzn.isa.kja,loginfrom,784.8.778.22,1678881227,@784.8.98.711
hosts,wck9.sgzn.isa.kja,userlogin,mxkmmu,1678883840,@784.8.98.711
hosts,wck9.sgzn.isa.kja,loginfrom,38.21.895.863,1678883840,@784.8.98.711
hosts,wck9.sgzn.isa.kja,userlogin,zhunsgt,1678884908,@784.8.98.711
hosts,wck9.sgzn.isa.kja,loginfrom,784.8.778.22,1678884908,@784.8.98.711
hosts,wck5.sgzn.isa.kja,userlogin,tingmgy,1678885816,@784.8.98.727
hosts,wck5.sgzn.isa.kja,loginfrom,X6,1678885816,@784.8.98.727
hosts,wck7.sgzn.isa.kja,userlogin,psgiqke,1678888227,@784.8.98.719
hosts,wck7.sgzn.isa.kja,loginfrom,739.31.12.871,1678888227,@784.8.98.719
hosts,aha8860.sgzn.isa.kja,userlogin,_mgvj,1678891242,@784.8.779.784
hosts,aha8860.sgzn.isa.kja,userlogin,_mgvj,1678891311,@784.8.779.784
hosts,aha8860.sgzn.isa.kja,userlogin,xuuz,1678892046,@784.8.779.784
hosts,aha8860.sgzn.isa.kja,loginfrom,784.8.98.701,1678892046,@784.8.779.784
hosts,aha8860.sgzn.isa.kja,userlogin,_mgvj,1678892109,@784.8.779.784
hosts,aha8860.sgzn.isa.kja,userlogin,jkrkzkj,1678896687,gjsot@784.8.98.701
hosts,aha8860.sgzn.isa.kja,userlogin,jkrkzkj,1678896861,gjsot@784.8.98.701
hosts,wck9.sgzn.isa.kja,userlogin,xuuz,1678897139,@784.8.98.711
hosts,wck9.sgzn.isa.kja,loginfrom,784.8.98.701,1678897139,@784.8.98.711
hosts,wck8.sgzn.isa.kja,userlogin,cn71,1678897199,@784.8.98.710
hosts,wck8.sgzn.isa.kja,loginfrom,X6,1678897199,@784.8.98.710
hosts,otlu.siy.isa.kja,userlogin,xuuz,1678897550,@784.8.773.51
hosts,otlu.siy.isa.kja,loginfrom,784.8.98.701,1678897550,@784.8.773.51
hosts,aha8860.sgzn.isa.kja,userlogin,jkrkzkj,1678897554,gjsot@784.8.98.701
hosts,wck8.sgzn.isa.kja,userlogin,cn71,1678899934,@784.8.98.710
hosts,wck8.sgzn.isa.kja,loginfrom,X6,1678899934,@784.8.98.710
hosts,wck9.sgzn.isa.kja,userlogin,zhunsgt,1678900864,@784.8.98.711
hosts,wck9.sgzn.isa.kja,loginfrom,784.8.778.22,1678900864,@784.8.98.711
hosts,wck8.sgzn.isa.kja,userlogin,cn71,1678900899,@784.8.98.710
hosts,wck8.sgzn.isa.kja,loginfrom,X6,1678900899,@784.8.98.710
hosts,wck9.sgzn.isa.kja,userlogin,mxkmmu,1678901029,@784.8.98.711
hosts,wck9.sgzn.isa.kja,loginfrom,784.8.773.703,1678901029,@784.8.98.711
hosts,wck8.sgzn.isa.kja,userlogin,cn71,1678905169,@784.8.98.710
hosts,wck8.sgzn.isa.kja,loginfrom,X6,1678905169,@784.8.98.710
hosts,wck7.sgzn.isa.kja,userlogin,qoyyrotm,1678909918,@784.8.98.719
hosts,wck7.sgzn.isa.kja,loginfrom,52.891.83.772,1678909919,@784.8.98.719
hosts,aha8860.sgzn.isa.kja,userlogin,jkrkzkj,1678910175,gjsot@784.8.98.701
hosts,wck0.sgzn.isa.kja,userlogin,lruxot,1678910195,@784.8.98.712
hosts,wck0.sgzn.isa.kja,loginfrom,784.8.98.701,1678910195,@784.8.98.712
hosts,aha8860.sgzn.isa.kja,userlogin,jkrkzkj,1678910198,gjsot@784.8.98.701
hosts,wck0.sgzn.isa.kja,userlogin,lruxot,1678916085,@784.8.98.712
hosts,wck0.sgzn.isa.kja,loginfrom,784.8.98.701,1678916085,@784.8.98.712
hosts,wck9.sgzn.isa.kja,userlogin,yutb,1678932912,@784.8.98.711
hosts,wck9.sgzn.isa.kja,loginfrom,774.25.90.781,1678932912,@784.8.98.711
hosts,wck9.sgzn.isa.kja,userlogin,zhunsgt,1678970590,@784.8.98.711
hosts,wck9.sgzn.isa.kja,loginfrom,784.8.778.22,1678970590,@784.8.98.711
hosts,wck9.sgzn.isa.kja,userlogin,mxkmmu,1678971108,@784.8.98.711
hosts,wck9.sgzn.isa.kja,loginfrom,38.21.895.863,1678971108,@784.8.98.711
hosts,wck8.sgzn.isa.kja,userlogin,cn71,1678977921,@784.8.98.710
hosts,wck8.sgzn.isa.kja,loginfrom,X6,1678977921,@784.8.98.710
hosts,wck9.sgzn.isa.kja,userlogin,zhunsgt,1678979214,@784.8.98.711
hosts,wck9.sgzn.isa.kja,loginfrom,784.8.778.22,1678979214,@784.8.98.711
hosts,wck7.sgzn.isa.kja,userlogin,psgiqke,1678980929,@784.8.98.719
hosts,wck7.sgzn.isa.kja,loginfrom,739.31.12.871,1678980929,@784.8.98.719
hosts,wck8.sgzn.isa.kja,userlogin,cn71,1678985437,@784.8.98.710
hosts,wck8.sgzn.isa.kja,loginfrom,X6,1678985437,@784.8.98.710
hosts,wck0.sgzn.isa.kja,userlogin,gjgsnorr,1678987616,@784.8.98.712
hosts,wck0.sgzn.isa.kja,loginfrom,X6,1678987616,@784.8.98.712
hosts,wck0.sgzn.isa.kja,userlogin,ygtmsotv,1678990075,@784.8.98.712
hosts,wck0.sgzn.isa.kja,loginfrom,X6,1678990075,@784.8.98.712
hosts,wck7.sgzn.isa.kja,userlogin,qoyyrotm,1678991772,@784.8.98.719
hosts,wck7.sgzn.isa.kja,loginfrom,52.891.83.772,1678991772,@784.8.98.719
hosts,wck7.sgzn.isa.kja,userlogin,qoyyrotm,1678994999,@784.8.98.719
hosts,wck7.sgzn.isa.kja,loginfrom,52.891.83.772,1678994999,@784.8.98.719
hosts,wck8.sgzn.isa.kja,userlogin,cn71,1678996289,@784.8.98.710
hosts,wck8.sgzn.isa.kja,loginfrom,X6,1678996289,@784.8.98.710
hosts,wck9.sgzn.isa.kja,userlogin,zhunsgt,1678997137,@784.8.98.711
hosts,wck9.sgzn.isa.kja,loginfrom,784.8.778.22,1678997137,@784.8.98.711
hosts,otlu.siy.isa.kja,userlogin,xuuz,1679001987,@784.8.773.51
hosts,otlu.siy.isa.kja,loginfrom,784.8.98.701,1679001987,@784.8.773.51
hosts,wck7.sgzn.isa.kja,userlogin,fkinktmf,1679011477,@784.8.98.719
